vendor,device,device_kind,parent_device,processor,processor_units,core,core_version,fpu,endian,dsp,mve,trustzone,mpu,clock_hz,rust_target,source_pack_vendor,source_pack_name,source_pack_version,source_url,source_pdsc
ABOV Semiconductor,A31C144CYN,variant,A31C144,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,32000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31C144GRN,variant,A31C144,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,32000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31C144KYN,variant,A31C144,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,32000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31C144RL2N,variant,A31C144,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,32000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31C144RLN,variant,A31C144,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,32000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31C144RN2N,variant,A31C144,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,32000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31C144SNN,variant,A31C144,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,32000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G111,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G111,device,,,,Cortex-M0+,r0p1,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31G1xx_Series,2.5.0,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31G1xx_Series.pdsc
ABOV Semiconductor,A31G111GRN,variant,A31G111,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G111KNN,variant,A31G111,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G111KUN,variant,A31G111,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G111LUN,variant,A31G111,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G112,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G112,device,,,,Cortex-M0+,r0p1,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31G1xx_Series,2.5.0,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31G1xx_Series.pdsc
ABOV Semiconductor,A31G112CLN,variant,A31G112,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G112GRN,variant,A31G112,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,40000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
